# EUCKP.TXT
0xA9D3	0x2531	# ┱
0xA9D4	0x2532	# ┲
0xA9D5	0x2535	# ┵
0xA9D6	0x2536	# ┶
0xA9D7	0x2539	# ┹
0xA9D8	0x253A	# ┺
0xA9D9	0x253D	# ┽
0xA9DA	0x253E	# ┾
0xA9DB	0x2540	# ╀
0xA9DC	0x2541	# ╁
0xA9DD	0x2543	# ╃
0xA9DE	0x2544	# ╄
0xA9DF	0x2545	# ╅
0xA9E0	0x2546	# ╆
0xA9E1	0x2547	# ╇
0xA9E2	0x2548	# ╈
0xA9E3	0x2549	# ╉
0xA9E4	0x254A	# ╊
0xAAA1	0x3041	# ぁ
0xAAA2	0x3042	# あ
0xAAA3	0x3043	# ぃ
0xAAA4	0x3044	# い
0xAAA5	0x3045	# ぅ
0xAAA6	0x3046	# う
0xAAA7	0x3047	# ぇ
0xAAA8	0x3048	# え
0xAAA9	0x3049	# ぉ
0xAAAA	0x304A	# お
0xAAAB	0x304B	# か
0xAAAC	0x304C	# が
0xAAAD	0x304D	# き
0xAAAE	0x304E	# ぎ
0xAAAF	0x304F	# く
0xAAB0	0x3050	# ぐ
0xAAB1	0x3051	# け
0xAAB2	0x3052	# げ
0xAAB3	0x3053	# こ
0xAAB4	0x3054	# ご
0xAAB5	0x3055	# さ
0xAAB6	0x3056	# ざ
0xAAB7	0x3057	# し
0xAAB8	0x3058	# じ
0xAAB9	0x3059	# す
0xAABA	0x305A	# ず
0xAABB	0x305B	# せ
0xAABC	0x305C	# ぜ
0xAABD	0x305D	# そ
0xAABE	0x305E	# ぞ
0xAABF	0x305F	# た
0xAAC0	0x3060	# だ
0xAAC1	0x3061	# ち
0xAAC2	0x3062	# ぢ
0xAAC3	0x3063	# っ
0xAAC4	0x3064	# つ
0xAAC5	0x3065	# づ
0xAAC6	0x3066	# て
0xAAC7	0x3067	# で
0xAAC8	0x3068	# と
0xAAC9	0x3069	# ど
0xAACA	0x306A	# な
0xAACB	0x306B	# に
0xAACC	0x306C	# ぬ
0xAACD	0x306D	# ね
0xAACE	0x306E	# の
0xAACF	0x306F	# は
0xAAD0	0x3070	# ば
0xAAD1	0x3071	# ぱ
0xAAD2	0x3072	# ひ
0xAAD3	0x3073	# び
0xAAD4	0x3074	# ぴ
0xAAD5	0x3075	# ふ
0xAAD6	0x3076	# ぶ
0xAAD7	0x3077	# ぷ
0xAAD8	0x3078	# へ
0xAAD9	0x3079	# べ
0xAADA	0x307A	# ぺ
0xAADB	0x307B	# ほ
0xAADC	0x307C	# ぼ
0xAADD	0x307D	# ぽ
0xAADE	0x307E	# ま
0xAADF	0x307F	# み
0xAAE0	0x3080	# む
0xAAE1	0x3081	# め
0xAAE2	0x3082	# も
0xAAE3	0x3083	# ゃ
0xAAE4	0x3084	# や
0xAAE5	0x3085	# ゅ
0xAAE6	0x3086	# ゆ
0xAAE7	0x3087	# ょ
0xAAE8	0x3088	# よ
0xAAE9	0x3089	# ら
0xAAEA	0x308A	# り
0xAAEB	0x308B	# る
0xAAEC	0x308C	# れ
0xAAED	0x308D	# ろ
0xAAEE	0x308E	# ゎ
0xAAEF	0x308F	# わ
0xAAF0	0x3090	# ゐ
0xAAF1	0x3091	# ゑ
0xAAF2	0x3092	# を
0xAAF3	0x3093	# ん
0xABA1	0x30A1	# ァ
0xABA2	0x30A2	# ア
0xABA3	0x30A3	# ィ
0xABA4	0x30A4	# イ
0xABA5	0x30A5	# ゥ
0xABA6	0x30A6	# ウ
0xABA7	0x30A7	# ェ
0xABA8	0x30A8	# エ
0xABA9	0x30A9	# ォ
0xABAA	0x30AA	# オ
0xABAB	0x30AB	# カ
0xABAC	0x30AC	# ガ
0xABAD	0x30AD	# キ
0xABAE	0x30AE	# ギ
0xABAF	0x30AF	# ク
0xABB0	0x30B0	# グ
